Item,Qty,Price (INR),Total (INR),Link
Raspberry Pi Zero W,1,1700,1700,https://robu.in/product/raspberry-pi-zero-w/
5 inch Touch Screen HDMI TFT LCD 800x480 for Raspberry Pi,1,2651,2651,https://robu.in/product/5-inch-touch-screen-hdmi-interface-display-module-tft-lcd-800x480-raspberry-pi-2-model-b-touch-pen/
HDMI Female to Mini HDMI Male Adapter,1,45,45,https://robu.in/product/hdmi-female-to-mini-hdmi-male-adapter/
Outemu Mechanical Switches for Swappable Keyboards (Pack of 20),1,150,150,https://www.thecosmicbyte.com/product/outemu-mechanical-switches-for-swappable-keyboards-pack-of-20/
Samsung SDI INR18650 Li-Ion Rechargeable Cell,2,249,498,https://makerbazar.in/products/samsung-sdi-inr18650-li-ion-rechargeable-cells?variant=48251034140912
3.7V BMS 1S 3A 18650 Lithium Battery Protection Board,2,25,50,https://makerbazar.in/products/3-7v-bms-1s-3a-18650-lithium-battery-protection-board?variant=41228734070935
DC-DC Adjustable Boost Converter Power Supply Module,1,39,39,https://makerbazar.in/products/dc-dc-adjustable-converter-board-boost-power-supply-module?variant=48251030503664
CM108 Chipset USB 2.0 to 3D Audio Sound Card Adapter (KG550),1,174,174,https://www.amazon.in/Chipset-Audio-Sound-Card-Adapter/dp/B072M7F2FD/
Micro USB OTG Adapter (Micro USB to USB 2.0),1,13,13,https://makerbazar.in/products/low-cost-little-on-the-go-otg-micro-usb-to-usb-2-0-adapter-android-supported?variant=41140045611159
TP4056 1A Li-ion Lithium Battery Charging Module,1,16,16,https://makerbazar.in/products/tp4056-1a-li-ion-lithium-battery-charging-module?variant=45459125567728
